title,resources,discard,effect
Charisma,4,1,Cards cost 1 less popularity
Popularity in the civil service,5,1,Cards cost 1 less capacity
Contacts with business circles,5,1,Cards cost 1 less financial resources
Political will,5,1,Cannot be stopped. Each card costs +1 (any resource)
Party discipline,4,2,Each turn in the 2nd segment the player can trade 3 of any resource for 1 move
Moral principles,4,1,Can't be put more than 1 off target. Can't play cards that drain morality
Knowing the secrets of others,5,1,Each attack card costs the attacker +1 popularity
Good reputation,5,1,Cards cost 1 less influence
Wealth,4,2,Can use any resource instead of financial resources
Negotiation skills,6,1,Lose 1 less resource (of choice) when an attacker plays  a card.
Ties with the media,4,2,"Instead of playing a card, can trade 1 morality for 1 move forward"
Party leadership favorite,4,2,Cards that stop you or move you off target cost +1 of the attacker's choice
Team recruitment skills,5,1,Each attack card costs the attacker +1 capacity
Political chaos,6,1,Can play "+" cards as "-" cards
